ord
Harpacticoida
Diplostraca
Diptera
Coleoptera
Trombidiformes
Ephemeroptera
Haplotaxida
Hemiptera
Lepidoptera
Megaloptera
Odonata
Podocopida
Panpulmonata
Trichoptera
Copepoda
Cyclopoida
Opisthopora�
Entomobryomorpha
Rhynchobdellida
