BromeliadID;Diam1;NL;Vmax
9;70;14;260
18;78;17;220
21;86;13;232
25;97;15;222
31;80;14;337
33;75;14;282
35;69;10;205
37;80;14;268
41;62;13;110
42;85;16;338
43;91;15;287
44;79;17;320
47;84;16;300
49;65;11;310
50;56;10;286
51;39;13;200
52;69;11;154
53;82;14;312
54;80;13;190
57;86;16;188
72;93;13;219
75;91;16;194
76;75;15;168
77;76;18;256
78;65;15;260
79;72;14;170
80;84;17;262
81;73;15;200
82;72;15;154
85;59;15;208
87;69;15;236
88;80;14;166
39;80;12;215
1;21;7;4
2;20.5;9;19
3;40;10;20
