filename,plant_id,Diam1,NL,Vmax,Diam2,species
Guzmania_PR,27,72.0,24,376.0,NA,Guzmania_sp
Guzmania_PR,30,545.0,19,350.0,NA,Guzmania_sp
Guzmania_PR,31,635.0,21,250.0,NA,Guzmania_sp
Guzmania_PR,32,635.0,19,140.0,NA,Guzmania_sp
Guzmania_PR,33,625.0,14,215.0,NA,Guzmania_sp
mertensii,1,55.0,11,60.0,45.0,Aechmaea_mertensii
mertensii,2,40.0,11,75.0,26.0,Aechmaea_mertensii
mertensii,3,36.0,10,62.0,33.0,Aechmaea_mertensii
mertensii,4,33.0,11,70.0,40.0,Aechmaea_mertensii
mertensii,5,42.0,10,45.0,27.0,Aechmaea_mertensii
mertensii,6,45.0,11,75.0,34.0,Aechmaea_mertensii
mertensii,7,43.0,12,63.0,45.0,Aechmaea_mertensii
mertensii,8,32.0,11,58.0,33.0,Aechmaea_mertensii
mertensii,9,33.0,11,60.0,24.0,Aechmaea_mertensii
mertensii,10,46.0,13,74.0,36.0,Aechmaea_mertensii
mertensii,11,34.0,10,76.0,32.0,Aechmaea_mertensii
mertensii,12,38.0,11,80.0,45.0,Aechmaea_mertensii
mertensii,13,39.0,12,65.0,29.0,Aechmaea_mertensii
mertensii,14,23.0,12,67.0,18.0,Aechmaea_mertensii
mertensii,15,33.0,10,72.0,31.0,Aechmaea_mertensii
mertensii,16,23.0,6,50.0,18.0,Aechmaea_mertensii
mertensii,17,26.0,9,80.0,20.0,Aechmaea_mertensii
mertensii,18,28.0,9,82.0,23.0,Aechmaea_mertensii
mertensii,19,28.0,13,95.0,24.0,Aechmaea_mertensii
mertensii,20,20.0,11,62.0,23.0,Aechmaea_mertensii
mertensii,21,23.0,12,72.0,22.0,Aechmaea_mertensii
mertensii,22,26.0,7,50.0,26.0,Aechmaea_mertensii
mertensii,23,26.0,9,75.0,20.0,Aechmaea_mertensii
mertensii,24,30.0,11,60.0,21.0,Aechmaea_mertensii
mertensii,25,20.0,9,78.0,20.0,Aechmaea_mertensii
mertensii,26,20.0,8,50.0,23.0,Aechmaea_mertensii
mertensii,27,24.0,6,60.0,17.0,Aechmaea_mertensii
mertensii,28,17.0,10,43.0,17.0,Aechmaea_mertensii
mertensii,29,16.0,8,55.0,22.0,Aechmaea_mertensii
mertensii,30,18.0,9,55.0,20.0,Aechmaea_mertensii
mertensii,31,20.0,8,40.0,18.0,Aechmaea_mertensii
mertensii,32,24.0,11,80.0,22.0,Aechmaea_mertensii
mertensii,33,23.0,9,50.0,22.0,Aechmaea_mertensii
mertensii,34,23.0,10,85.0,18.0,Aechmaea_mertensii
mertensii,35,25.0,9,78.0,17.0,Aechmaea_mertensii
mertensii,36,40.0,9,65.0,25.0,Aechmaea_mertensii
mertensii,37,20.0,8,70.0,19.0,Aechmaea_mertensii
mertensii,38,26.0,13,64.0,17.0,Aechmaea_mertensii
mertensii,39,17.0,11,70.0,17.0,Aechmaea_mertensii
mertensii,40,25.0,9,60.0,28.0,Aechmaea_mertensii
mertensii,CFO23,1975.0,5,32.0,1975.0,Aechmaea_mertensii
mertensii,CFO33,135.0,5,27.0,135.0,Aechmaea_mertensii
mertensii,CFO34,12.0,5,24.0,12.0,Aechmaea_mertensii
