ID;Diam1;NL;Vmax
1;110;19;1590
5;100;15;1330
7;100;15;1320
16;110;15;1680
18;120;17;1310
19;110;11;920
26;120;20;2920
27;120;19;1280
28;130;21;1790
29;120;16;1400
30;120;24;2530
39;90;15;630
42;100;13;810
8;110;17;1070
13;130;17;1308
15;100;12;780
20;115;18;1280
22;120;23;1390
23;90;20;1890
31;100;19;1780
32;130;22;2590
35;110;15;2100
36;100;14;940
38;100;17;840
44;100;17;890
47;90;12;1480
4;120;18;1060
