plante;Vmax;NL;Diam1
1;390;29;87.5
4;250;21;78.5
7;232;21;104.5
10;234;18;93.5
13;390;21;66.5
16;274;23;112
19;490;25;84.5
22;284;21;70.5
25;314;19;83
28;438;25;101
2;550;23;76.5
5;396;31;89
8;372;27;70
11;320;22;73
14;410;25;86.5
17;320;26;88.5
20;362;34;80.5
23;230;16;65
26;300;26;66
29;444;34;63
3;380;27;70.5
6;470;30;86
9;466;19;80.5
12;395;35;78.5
15;388;32;79
18;310;23;75.5
21;278;24;81
24;230;16;76
27;376;24;72
30;350;19;54.5
31;250;21;63.5
32;140;19;63.5
33;215;14;62.5
